trials,participant,valence,S,R,rt,dataset
1,1,2,left,left,0.856789691603377,weber_holds
2,1,2,left,right,1.0638608416063466,weber_holds
3,1,2,left,left,1.0847547537541433,weber_holds
4,1,2,left,left,0.8625501784073102,weber_holds
5,1,2,left,left,1.068593065537165,weber_holds
6,1,2,left,right,0.9957653348288509,weber_holds
7,1,2,left,left,1.0306019232209962,weber_holds
8,1,2,left,left,0.7694533583611989,weber_holds
9,1,2,left,left,1.007494842497018,weber_holds
10,1,2,left,left,0.797535125230068,weber_holds
11,1,3,left,left,1.493745861968248,weber_holds
12,1,3,left,right,1.3365070485453703,weber_holds
13,1,3,left,left,0.8453098624962176,weber_holds
14,1,3,left,left,1.308151063708051,weber_holds
15,1,3,left,left,0.9852005076290413,weber_holds
16,1,3,left,left,1.2587721150693068,weber_holds
17,1,3,left,left,0.9769817610146254,weber_holds
18,1,3,left,left,1.8570198661121595,weber_holds
19,1,3,left,left,1.0643907910990684,weber_holds
20,1,3,left,left,0.8254135040145953,weber_holds
21,1,4,left,left,1.4646360451236615,weber_holds
22,1,4,left,left,1.4077604856201333,weber_holds
23,1,4,left,right,3.0762757720206477,weber_holds
24,1,4,left,left,1.854794734006943,weber_holds
25,1,4,left,left,2.219062307080038,weber_holds
26,1,4,left,right,3.101989073381032,weber_holds
27,1,4,left,left,2.2914734246497006,weber_holds
28,1,4,left,right,2.215560148796086,weber_holds
29,1,4,left,left,1.7388785689490263,weber_holds
30,1,4,left,left,1.851734485967848,weber_holds
31,1,6,left,left,1.8506392724050726,weber_holds
32,1,6,left,left,1.6188224369369648,weber_holds
33,1,6,left,left,1.3981980359767672,weber_holds
34,1,6,left,left,1.614962575604902,weber_holds
35,1,6,left,left,6.340905911709702,weber_holds
36,1,6,left,right,2.4452112141663735,weber_holds
37,1,6,left,left,1.4858357276210576,weber_holds
38,1,6,left,left,1.9877167355468104,weber_holds
39,1,6,left,right,2.2185465881770976,weber_holds
40,1,6,left,left,2.558751946486354,weber_holds
41,1,7,left,left,0.9458232348636828,weber_holds
42,1,7,left,left,1.0057674747263368,weber_holds
43,1,7,left,left,0.99716092650208,weber_holds
44,1,7,left,left,1.5213199378367275,weber_holds
45,1,7,left,left,1.037438131290683,weber_holds
46,1,7,left,left,1.3972291778652566,weber_holds
47,1,7,left,left,1.6943627832320338,weber_holds
48,1,7,left,left,2.000730544897972,weber_holds
49,1,7,left,left,2.433156141478439,weber_holds
50,1,7,left,left,1.22256286180302,weber_holds
51,1,8,left,left,1.4354463034379417,weber_holds
52,1,8,left,left,0.7316993220812023,weber_holds
53,1,8,left,left,1.331290871065699,weber_holds
54,1,8,left,left,0.642065367715732,weber_holds
55,1,8,left,left,0.9649175070610079,weber_holds
56,1,8,left,right,1.1497932280191927,weber_holds
57,1,8,left,left,0.6129945791561513,weber_holds
58,1,8,left,left,1.333067239500361,weber_holds
59,1,8,left,left,1.0472515797785114,weber_holds
60,1,8,left,left,0.8365816185109696,weber_holds
61,1,2,right,right,0.7683180961501328,weber_holds
62,1,2,right,right,0.716278894419508,weber_holds
63,1,2,right,right,1.1040713929204526,weber_holds
64,1,2,right,right,0.9020791013910401,weber_holds
65,1,2,right,right,0.8034873320508646,weber_holds
66,1,2,right,right,1.5495534920630147,weber_holds
67,1,2,right,right,0.7355238335929786,weber_holds
68,1,2,right,right,1.0231752635909162,weber_holds
69,1,2,right,right,1.03974262099661,weber_holds
70,1,2,right,right,0.9661044095319546,weber_holds
71,1,3,right,left,2.1870014031509912,weber_holds
72,1,3,right,right,1.1711272054790278,weber_holds
73,1,3,right,left,1.474802561687308,weber_holds
74,1,3,right,right,1.4096056625444782,weber_holds
75,1,3,right,right,1.0304660432640667,weber_holds
76,1,3,right,right,1.249974632446594,weber_holds
77,1,3,right,right,1.5209709244985654,weber_holds
78,1,3,right,right,1.451242932222913,weber_holds
79,1,3,right,right,0.985464344777192,weber_holds
80,1,3,right,right,1.0397879721276269,weber_holds
81,1,4,right,left,2.206857269006679,weber_holds
82,1,4,right,left,1.8826622361618581,weber_holds
83,1,4,right,right,2.4891998495355097,weber_holds
84,1,4,right,left,1.6304569917364535,weber_holds
85,1,4,right,right,1.6234325855524312,weber_holds
86,1,4,right,left,3.8285945240373644,weber_holds
87,1,4,right,right,2.097506242543561,weber_holds
88,1,4,right,right,1.3681274079984436,weber_holds
89,1,4,right,left,1.4970877647299234,weber_holds
90,1,4,right,right,1.531267365297976,weber_holds
91,1,6,right,left,2.527581409306379,weber_holds
92,1,6,right,right,1.8173659479026831,weber_holds
93,1,6,right,right,1.5237693638593492,weber_holds
94,1,6,right,right,2.8695929924409223,weber_holds
95,1,6,right,right,1.620479361528517,weber_holds
96,1,6,right,right,1.3705909045208255,weber_holds
97,1,6,right,left,1.4825596508562622,weber_holds
98,1,6,right,right,1.526791215215185,weber_holds
99,1,6,right,right,1.101934147426743,weber_holds
100,1,6,right,right,1.3506789176871234,weber_holds
101,1,7,right,right,1.0628326065430114,weber_holds
102,1,7,right,right,1.1742277857938779,weber_holds
103,1,7,right,right,2.8444181640517496,weber_holds
104,1,7,right,right,1.7244757714776964,weber_holds
105,1,7,right,right,1.8197680513522054,weber_holds
106,1,7,right,left,1.729734612311269,weber_holds
107,1,7,right,right,1.6874854267307444,weber_holds
108,1,7,right,right,1.4848951616407844,weber_holds
109,1,7,right,right,1.2450215052438587,weber_holds
110,1,7,right,right,1.0329337852213647,weber_holds
111,1,8,right,right,1.2473607510574956,weber_holds
112,1,8,right,right,0.7988546309226712,weber_holds
113,1,8,right,right,0.83296563055268,weber_holds
114,1,8,right,right,0.898731604812036,weber_holds
115,1,8,right,right,0.8017625053192969,weber_holds
116,1,8,right,right,0.9297098873072218,weber_holds
117,1,8,right,right,0.9146925003066473,weber_holds
118,1,8,right,right,1.057567629935601,weber_holds
119,1,8,right,right,1.198610776207438,weber_holds
120,1,8,right,right,0.9378670659428812,weber_holds
1,2,2,left,left,0.8079270048359191,weber_holds
2,2,2,left,left,0.8399793134567901,weber_holds
3,2,2,left,left,1.2198246176666605,weber_holds
4,2,2,left,left,0.9664123649149681,weber_holds
5,2,2,left,left,1.0668912158030692,weber_holds
6,2,2,left,left,0.7840131658032456,weber_holds
7,2,2,left,left,0.9678720177467022,weber_holds
8,2,2,left,left,1.0536820964755877,weber_holds
9,2,2,left,left,1.5492290655303624,weber_holds
10,2,2,left,left,1.2060237144396788,weber_holds
11,2,3,left,left,1.7828391665845051,weber_holds
12,2,3,left,left,0.9733824499041019,weber_holds
13,2,3,left,left,1.8968889625048058,weber_holds
14,2,3,left,right,0.8290020843191956,weber_holds
15,2,3,left,left,1.186216617207065,weber_holds
16,2,3,left,left,1.9259133750544641,weber_holds
17,2,3,left,left,1.3356178149716869,weber_holds
18,2,3,left,left,0.99708418693084,weber_holds
19,2,3,left,left,1.2482337377644988,weber_holds
20,2,3,left,left,1.4369350146337863,weber_holds
21,2,4,left,left,1.7332741942169756,weber_holds
22,2,4,left,left,2.701113557344561,weber_holds
23,2,4,left,left,1.97011361501888,weber_holds
