trials,participant,valence,S,R,rt,dataset
1,1,2,left,left,0.8821892708476944,weber_holds_vmismatch_0.6
2,1,2,left,right,1.0178953197627039,weber_holds_vmismatch_0.6
3,1,2,left,left,1.2286445677168694,weber_holds_vmismatch_0.6
4,1,2,left,left,0.7912695201456064,weber_holds_vmismatch_0.6
5,1,2,left,left,0.9102978587394934,weber_holds_vmismatch_0.6
6,1,2,left,left,1.0518171312428337,weber_holds_vmismatch_0.6
7,1,2,left,left,1.3268591452387828,weber_holds_vmismatch_0.6
8,1,2,left,left,0.8027999601048799,weber_holds_vmismatch_0.6
9,1,2,left,left,0.8577959903385028,weber_holds_vmismatch_0.6
10,1,2,left,left,0.8879398251893753,weber_holds_vmismatch_0.6
11,1,3,left,left,0.8959258370882037,weber_holds_vmismatch_0.6
12,1,3,left,left,1.4352778627760523,weber_holds_vmismatch_0.6
13,1,3,left,right,2.517156793415863,weber_holds_vmismatch_0.6
14,1,3,left,left,1.3259643615785772,weber_holds_vmismatch_0.6
15,1,3,left,right,1.2883181814969646,weber_holds_vmismatch_0.6
16,1,3,left,left,2.024993336494383,weber_holds_vmismatch_0.6
17,1,3,left,left,1.2587634329762905,weber_holds_vmismatch_0.6
18,1,3,left,left,1.4848473011525263,weber_holds_vmismatch_0.6
19,1,3,left,left,1.203467494635708,weber_holds_vmismatch_0.6
20,1,3,left,left,1.469450620757735,weber_holds_vmismatch_0.6
21,1,4,left,left,1.5262921578855844,weber_holds_vmismatch_0.6
22,1,4,left,left,2.464725623130204,weber_holds_vmismatch_0.6
23,1,4,left,left,2.8547568651358204,weber_holds_vmismatch_0.6
24,1,4,left,right,1.953192884611944,weber_holds_vmismatch_0.6
25,1,4,left,left,2.0106937817654913,weber_holds_vmismatch_0.6
26,1,4,left,right,2.652313933111229,weber_holds_vmismatch_0.6
27,1,4,left,left,2.5515769783340763,weber_holds_vmismatch_0.6
28,1,4,left,right,2.911903969016484,weber_holds_vmismatch_0.6
29,1,4,left,right,1.850771884981651,weber_holds_vmismatch_0.6
30,1,4,left,right,2.0274122619360995,weber_holds_vmismatch_0.6
31,1,6,left,right,1.521104663833275,weber_holds_vmismatch_0.6
32,1,6,left,left,1.964230546211768,weber_holds_vmismatch_0.6
33,1,6,left,right,2.185854685007098,weber_holds_vmismatch_0.6
34,1,6,left,right,1.5027923969776205,weber_holds_vmismatch_0.6
35,1,6,left,left,1.7719109842321252,weber_holds_vmismatch_0.6
36,1,6,left,right,1.6541162785371422,weber_holds_vmismatch_0.6
37,1,6,left,right,1.944263159620298,weber_holds_vmismatch_0.6
38,1,6,left,right,2.211939337648193,weber_holds_vmismatch_0.6
39,1,6,left,right,1.551283566422494,weber_holds_vmismatch_0.6
40,1,6,left,left,2.412820838687141,weber_holds_vmismatch_0.6
41,1,7,left,left,1.2412728373502395,weber_holds_vmismatch_0.6
42,1,7,left,left,1.7619973578551744,weber_holds_vmismatch_0.6
43,1,7,left,left,1.3619741954982942,weber_holds_vmismatch_0.6
44,1,7,left,left,1.328561782874132,weber_holds_vmismatch_0.6
45,1,7,left,left,1.2469612811601427,weber_holds_vmismatch_0.6
46,1,7,left,left,2.0126743138907304,weber_holds_vmismatch_0.6
47,1,7,left,left,1.7551808763751393,weber_holds_vmismatch_0.6
48,1,7,left,left,1.553415685614472,weber_holds_vmismatch_0.6
49,1,7,left,right,1.2683530262975222,weber_holds_vmismatch_0.6
50,1,7,left,left,1.3750018295072066,weber_holds_vmismatch_0.6
51,1,8,left,left,1.4146180176433436,weber_holds_vmismatch_0.6
52,1,8,left,left,1.1728577864034786,weber_holds_vmismatch_0.6
53,1,8,left,left,0.884634663753382,weber_holds_vmismatch_0.6
54,1,8,left,left,1.0409711370457269,weber_holds_vmismatch_0.6
55,1,8,left,left,1.047249636053111,weber_holds_vmismatch_0.6
56,1,8,left,left,0.7123545060616785,weber_holds_vmismatch_0.6
57,1,8,left,left,0.8886186858693077,weber_holds_vmismatch_0.6
58,1,8,left,left,0.874726962000882,weber_holds_vmismatch_0.6
59,1,8,left,left,1.277734210029486,weber_holds_vmismatch_0.6
60,1,8,left,left,0.8083195812246668,weber_holds_vmismatch_0.6
61,1,2,right,right,1.3376510321877637,weber_holds_vmismatch_0.6
62,1,2,right,right,0.9131051085540021,weber_holds_vmismatch_0.6
63,1,2,right,right,0.8629033235271408,weber_holds_vmismatch_0.6
64,1,2,right,right,1.1372567193160927,weber_holds_vmismatch_0.6
65,1,2,right,right,1.0601106559094666,weber_holds_vmismatch_0.6
66,1,2,right,right,1.4648460615143795,weber_holds_vmismatch_0.6
67,1,2,right,right,1.355508179261794,weber_holds_vmismatch_0.6
68,1,2,right,right,1.6944346479647383,weber_holds_vmismatch_0.6
69,1,2,right,right,1.101145927696446,weber_holds_vmismatch_0.6
70,1,2,right,right,0.9040791762764886,weber_holds_vmismatch_0.6
71,1,3,right,right,1.8362301117658748,weber_holds_vmismatch_0.6
72,1,3,right,right,1.4748216926197109,weber_holds_vmismatch_0.6
73,1,3,right,right,1.4120548724960276,weber_holds_vmismatch_0.6
74,1,3,right,right,1.2947529885062097,weber_holds_vmismatch_0.6
75,1,3,right,right,2.4702055038048667,weber_holds_vmismatch_0.6
76,1,3,right,right,1.1840548945587372,weber_holds_vmismatch_0.6
77,1,3,right,left,1.4489104587791954,weber_holds_vmismatch_0.6
78,1,3,right,right,0.9618209697811775,weber_holds_vmismatch_0.6
79,1,3,right,left,1.1195017026199618,weber_holds_vmismatch_0.6
80,1,3,right,right,1.5227065846971013,weber_holds_vmismatch_0.6
81,1,4,right,right,2.23387051647426,weber_holds_vmismatch_0.6
82,1,4,right,right,2.2405982757860774,weber_holds_vmismatch_0.6
83,1,4,right,right,1.7045244642793445,weber_holds_vmismatch_0.6
84,1,4,right,right,2.0380504466386533,weber_holds_vmismatch_0.6
85,1,4,right,right,2.2149473892025213,weber_holds_vmismatch_0.6
86,1,4,right,left,2.2929468280080854,weber_holds_vmismatch_0.6
87,1,4,right,right,1.9641439116916113,weber_holds_vmismatch_0.6
88,1,4,right,right,1.9649846703300637,weber_holds_vmismatch_0.6
89,1,4,right,right,3.0382838757478825,weber_holds_vmismatch_0.6
90,1,4,right,left,1.6398871564451356,weber_holds_vmismatch_0.6
91,1,6,right,right,1.4827562652639383,weber_holds_vmismatch_0.6
92,1,6,right,left,2.321689117775311,weber_holds_vmismatch_0.6
93,1,6,right,left,1.7293893170935415,weber_holds_vmismatch_0.6
94,1,6,right,left,2.219635887346685,weber_holds_vmismatch_0.6
95,1,6,right,right,1.8309837613053583,weber_holds_vmismatch_0.6
96,1,6,right,right,1.5438854523278442,weber_holds_vmismatch_0.6
97,1,6,right,left,2.1160080879426393,weber_holds_vmismatch_0.6
98,1,6,right,right,2.1056231673798247,weber_holds_vmismatch_0.6
99,1,6,right,right,1.6795347324313894,weber_holds_vmismatch_0.6
100,1,6,right,left,1.7917168771784635,weber_holds_vmismatch_0.6
101,1,7,right,right,1.5611978178155816,weber_holds_vmismatch_0.6
102,1,7,right,right,1.1873057661813766,weber_holds_vmismatch_0.6
103,1,7,right,right,1.6571492208203327,weber_holds_vmismatch_0.6
104,1,7,right,left,1.5162455269914876,weber_holds_vmismatch_0.6
105,1,7,right,right,1.5615820382586063,weber_holds_vmismatch_0.6
106,1,7,right,right,1.4939113899539669,weber_holds_vmismatch_0.6
107,1,7,right,right,1.8976681172183412,weber_holds_vmismatch_0.6
